"contrast1","contrast","estimate","SE","df","z.ratio","p.value","region"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",7.09467101531906,1.75983469203198,Inf,4.03144172997706,0.000323141032491758,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",10.1192297532792,3.32147417781551,Inf,3.04660798535382,0.0123927578352516,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",15.7932163618138,4.21446804132581,Inf,3.74738073867217,0.00102588215840038,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",3.02455873796018,3.40332624449693,Inf,0.888706671260447,0.810746139630822,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",8.69854534649472,4.27595366706818,Inf,2.03429363921497,0.175376914686734,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",5.67398660853454,5.11996045061446,Inf,1.10820906982857,0.684470177350508,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",7.99436856627521,1.74493870677022,Inf,4.58146096207146,0.0000273764019304013,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",8.14986991682403,3.27233603697027,Inf,2.49053575939276,0.0613691961819183,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",10.9070448393941,4.12857434624852,Inf,2.64184290378709,0.0410890630414814,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",0.155501350548818,3.35391348968279,Inf,0.0463641507233763,0.999964231390819,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",2.91267627311887,4.18989638432655,Inf,0.695166659494143,0.898981532285722,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",2.75717492257006,5.0224280578089,Inf,0.548972507089113,0.94685389007874,"mr_y_smri__vol__aseg__ccc_sum"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",4.42163138730235,0.980134076371396,Inf,4.51125156638966,0.0000381529826650739,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",7.11945228074837,1.84323572124393,Inf,3.86247521068207,0.000648828853211048,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",7.7315278315445,2.33918814472393,Inf,3.30521845751615,0.00524876043148503,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",2.69782089344603,1.88677985071749,Inf,1.42985462369662,0.480590667718781,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",3.30989644424215,2.37151624705781,Inf,1.39568786355503,0.502013157729665,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.612075550796126,2.83872486050974,Inf,0.215616370332635,0.996461712582724,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",3.56899581483714,0.96882009342293,Inf,3.6838581683701,0.00131334625089341,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",6.1748451893808,1.81377351906467,Inf,3.40441908787216,0.00370449607715229,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",6.88440242474776,2.28993577528539,Inf,3.00637358438132,0.0140736456057338,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",2.60584937454366,1.85831879937668,Inf,1.40226175154538,0.497874179198693,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",3.31540660991062,2.32274336199597,Inf,1.42736673545443,0.482142682902632,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",0.70955723536696,2.78371163390671,Inf,0.254896098692218,0.994194480701952,"mr_y_smri__vol__aseg__ccp_sum"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",2.18106125047535,0.951866775752875,Inf,2.2913513802919,0.0999976911357601,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi2","(ses-04A) - (ses-02A)",4.28600514788327,1.7930289885874,Inf,2.39037136329843,0.0788967802372533,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi3","(ses-04A) - (ses-02A)",5.27068097394566,2.27533921805904,Inf,2.31643744902432,0.0942713091269811,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi1 - co_longi2","(ses-04A) - (ses-02A)",2.10494389740792,1.83626851573138,Inf,1.14631595508761,0.660746201404221,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi1 - co_longi3","(ses-04A) - (ses-02A)",3.08961972347031,2.30762371586269,Inf,1.33887500905462,0.53805033532331,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi2 - co_longi3","(ses-04A) - (ses-02A)",0.984675826062392,2.76261682232449,Inf,0.356428665063249,0.984489031193479,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi1","(ses-06A) - (ses-04A)",-0.612919667724384,0.942203716342952,Inf,-0.650517140925061,0.915406256352356,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi2","(ses-06A) - (ses-04A)",5.69765674709644,1.76533476122926,Inf,3.22752198179622,0.00684570651777761,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi3","(ses-06A) - (ses-04A)",3.92662077767446,2.22810964634565,Inf,1.76231038903968,0.291670415147371,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi1 - co_longi2","(ses-06A) - (ses-04A)",6.31057641482082,1.80900616001323,Inf,3.48842173913585,0.00273569679135521,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi1 - co_longi3","(ses-06A) - (ses-04A)",4.53954044539885,2.26059034969189,Inf,2.00812165990957,0.184888213127285,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi2 - co_longi3","(ses-06A) - (ses-04A)",-1.77103596942197,2.70945727802865,Inf,-0.653649711986063,0.914305158879989,"mr_y_smri__vol__aseg__ccpm_sum"
"co_longi0 - co_longi1","(ses-04A) - (ses-02A)",17.4428568856582,2.52988139620167,Inf,6.89473305422408,0.0000000000324069659995985,"mr_y_smri__vol__aseg__csf_sum"
